categoria,taglia,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,35.5,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,"47,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5
Scarpe Sportive,35.5,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,"48,95","70,00",https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=35.5
Scarpe Sportive,35.5,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,"63,95","80,00",https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5
Scarpe Sportive,35.5,UNDER ARMOUR,JET '23 - Scarpe da basket - black,"60,00","60,00",https://www.zalando.it/under-armour-court-performance-ua-gs-jet-scarpe-da-basket-black-un243a04a-q11.html?size=35.5
Scarpe Sportive,35.5,PUMA,ELIMINATE TURBO - Scarpe da pallamano - white/bluemazing,"101,99","119,99",https://www.zalando.it/puma-eliminate-turbo-scarpe-da-pallamano-whitebluemazing-pu142a1u7-a11.html?size=35.5
Scarpe Sportive,35.5,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white/lavender alert,"43,95","55,00",https://www.zalando.it/puma-anzarun-scarpe-da-corsa-su-strada-black-white-lavender-alert-pu144a07j-q16.html?size=35.5
Scarpe Sportive,35.5,PUMA,POPCAT UNISEX - Ciabatte da mare - white pinktastic,"39,99","39,99",https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-pinktastic-pu115i000-a14.html?size=35.5
Scarpe Sportive,35.5,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,"59,95","80,00",https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=35.5
Scarpe Sportive,35.5,PUMA,POPCAT UNISEX - Ciabatte da mare - black/white,"25,00","25,00",https://www.zalando.it/puma-ciabattine-blackwhite-pu115i000-q11.html?size=35.5
Scarpe Sportive,35.5,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black green moon,"103,95","130,00",https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-green-moon-pu144a0c2-q14.html?size=35.5
Scarpe Sportive,35.5,PUMA,POPCAT UNISEX - Ciabatte da mare - white-dark coal,"23,00","23,00",https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-dark-coal-pu115i000-a15.html?size=35.5
Scarpe Sportive,35.5,PUMA,NIGHT V3 - Scarpe da corsa su strada - black white,"39,95","50,00",https://www.zalando.it/puma-scarpe-da-corsa-stabili-black-white-pu144a0ce-q11.html?size=35.5
Scarpe Sportive,35.5,PUMA,POPCAT UNISEX - Ciabatte da mare - inky blue- white,"23,00","23,00",https://www.zalando.it/puma-popcat-ciabatte-da-mare-inky-blue-white-pu115i000-k13.html?size=35.5
Scarpe Sportive,35.5,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - galactic gray/black/green glare,"63,95","80,00",https://www.zalando.it/puma-pwr-hybrid-unisex-scarpe-da-allenamento-galactic-grayblackgreen-glare-pu144a0cq-c11.html?size=35.5
Scarpe Sportive,35.5,PUMA,POPCAT UNISEX - Ciabatte da mare - white,"22,00","25,00",https://www.zalando.it/puma-ciabattine-white-pu115i000-a11.html?size=35.5
