categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da camminata - black,"130,00","130,00",https://www.zalando.it/under-armour-scarpe-da-camminata-black-un242a0ou-q11.html,INFINITE PRO 2,Scarpe da camminata,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 LOW - Scarpe da basket - red,"75,00","75,00",https://www.zalando.it/under-armour-scarpe-da-basket-red-600-un244a034-g11.html,LOCKDOWN 7 LOW,Scarpe da basket,red
Scarpini Sportivi Under Armour,UNDER ARMOUR,TECHNICAL PERFORMA HOVR SONIC - Scarpe da corsa su strada - black,"146,00","146,00",https://www.zalando.it/under-armour-technical-performa-hovr-sonic-scarpe-da-corsa-stabili-black-un242a0ko-q14.html,TECHNICAL PERFORMA HOVR SONIC,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKER V - Ciabatte da mare - gray dawn,"29,00","29,00",https://www.zalando.it/under-armour-locker-ciabatte-da-mare-gray-dawn-un212g004-c12.html,LOCKER V,Ciabatte da mare,gray dawn
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - red,"70,00","70,00",https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-red-un242a0os-g11.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,red
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED ROGUE 5 - Scarpe da corsa su strada - black,"85,00","85,00",https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-black-un242a0ov-q12.html,CHARGED ROGUE 5,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO RUN ANYWHERE - Scarpe da corsa su strada - black,"90,97","130,00",https://www.zalando.it/under-armour-scarpe-running-neutre-black-un242a0nf-q11.html,INFINITE PRO RUN ANYWHERE,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,CLONE MAGNETICO PRO3.0 FG - Scarpe da calcetto con tacchetti - white,"109,17","129,95",https://www.zalando.it/under-armour-clone-magnetico-pro30-fg-scarpe-da-calcetto-con-tacchetti-white-un242a0ls-a11.html,CLONE MAGNETICO PRO3.0 FG,Scarpe da calcetto con tacchetti,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,VELOCITI 4 SE - Scarpe da corsa su strada - white/hyper green,"129,99","129,99",https://www.zalando.it/under-armour-velociti-4-se-scarpe-da-corsa-su-strada-whitehyper-green-un242a0mh-a12.html,VELOCITI 4 SE,Scarpe da corsa su strada,white/hyper green
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - phoenix fire-high-vis yellow-black,"160,00","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-phoenix-fire-high-vis-yellow-black-un242a0kf-h11.html,Scarpe da corsa su strada,phoenix fire,high-vis yellow-black
Scarpini Sportivi Under Armour,UNDER ARMOUR,SLIPSPEED MEGA FADE - Scarpe da corsa su strada - black,"150,00","150,00",https://www.zalando.it/under-armour-technical-performa-slipspeed-mega-fade-scarpe-da-allenamento-black-un215p004-q11.html,SLIPSPEED MEGA FADE,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,REIGN LIFTER UNISEX - Scarpe da allenamento - black/white,"199,99","199,99",https://www.zalando.it/under-armour-reign-lifter-unisex-scarpe-da-allenamento-blackwhite-un244a02f-q11.html,REIGN LIFTER UNISEX,Scarpe da allenamento,black/white
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - castlerock/anthracite/blaze orange,"69,99","69,99",https://www.zalando.it/under-armour-ua-charged-pursuit-4-scarpe-da-corsa-su-strada-castlerockanthraciteblaze-orange-un242a0nb-c11.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,castlerock/anthracite/blaze orange
Scarpini Sportivi Under Armour,UNDER ARMOUR,PHANTOM FORE - Scarpe da golf - mod gray,"140,00","140,00",https://www.zalando.it/under-armour-scarponi-da-trekking-mod-gray-un212p002-c11.html,PHANTOM FORE,Scarpe da golf,mod gray
Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X ELITE UAA - Scarpe da basket - black,"150,00","150,00",https://www.zalando.it/under-armour-sneakers-basse-black-un244a03k-q11.html,FLOW FUTR X ELITE UAA,Scarpe da basket,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED SPEED SWIFT - Scarpe da allenamento - blk noir,"98,00","98,00",https://www.zalando.it/under-armour-sneakers-basse-blk-noir-un244a03e-q11.html,CHARGED SPEED SWIFT,Scarpe da allenamento,blk noir
