categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Taglia 47,UNDER ARMOUR,Scarpe da corsa su strada - morph green,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-morph-green-un242a0n1-m11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,KING ULTIMATE FG/AG - Scarpe da calcetto con tacchetti - frosted dew/fizzy apple/gray skies,"184,76","219,95",https://www.zalando.it/puma-king-ultimate-fgag-scarpe-da-calcetto-con-tacchetti-frosted-dewfizzy-applegray-skies-pu142a1ul-c11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,Scarpe da corsa su strada - smokey gray flame flicker black,"130,00","130,00",https://www.zalando.it/puma-scarpe-running-neutre-smokey-gray-flame-flicker-black-pu142a1xx-c11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,FUELCELL VENYM - Scarpe da trail running - dried apricot,"139,99","139,99",https://www.zalando.it/new-balance-fuelcell-venym-scarpe-da-trail-running-dried-apricot-ne242a0oj-h11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GT-2000 13 - Scarpe da corsa su strada - black/wave teal,"159,99","159,99",https://www.zalando.it/asics-gt-2000-13-scarpe-da-corsa-su-strada-blackwave-teal-as142a16c-q14.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL TRABUCO 13  - Scarpe da trail running - black/atlantis blue,"169,95","169,95",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blackatlantis-blue-as142a17q-q12.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,M1000 UNISEX - Sneakers basse - silver metallic,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-silver-metallic-ne215p03n-q11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,UNISEX - Sneakers basse - sea stone,"169,99","169,99",https://www.zalando.it/new-balance-unisex-sneakers-basse-sea-stone-ne215p01q-q11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,M1000 UNISEX - Sneakers basse - dark ice wine,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-dark-ice-wine-ne215p02k-q11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,M1000 UNISEX  - Sneakers basse - reflection,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-reflection-ne215p03m-a11.html?size=47
