categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,42,uomo,ASICS,GEL TRABUCO 13  - Scarpe da trail running - black/atlantis blue,"169,95","169,95",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blackatlantis-blue-as142a17q-q12.html?size=42
Scarpe Sportive,42,uomo,MIZUNO,MORELIA NEO IV PRO - Scarpe da calcetto con tacchetti - white/neon green/cool gray,"83,99","129,99",https://www.zalando.it/mizuno-morelia-neo-iv-pro-scarpe-da-calcetto-con-tacchetti-whiteneon-greencool-gray-m2742a0jm-a11.html?size=42
Scarpe Sportive,42,uomo,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - black concrete,"159,95","159,95",https://www.zalando.it/asics-gel-scarpe-da-corsa-su-strada-black-concrete-as142a17x-q12.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,FRESH FOAM X HIERRO V8 GTX - Sneakers basse - timberwolf,"179,99","179,99",https://www.zalando.it/new-balance-fresh-foam-x-hierro-gtx-scarpe-da-trail-running-timberwolf-ne242a0ld-b11.html?size=42
Scarpe Sportive,42,uomo,UNDER ARMOUR,CURRY SPLASH 24 - Scarpe da basket - high vis yellow,"110,00","110,00",https://www.zalando.it/under-armour-sneakers-basse-high-vis-yellow-un244a036-e11.html?size=42
Scarpe Sportive,42,uomo,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - nimbus cloud/blue pace/ignition red,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-nimbus-cloudblue-paceignition-red-m2742a0ja-c11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p03o-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - incense,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-incense-ne215p003-b11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p045-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - navy,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-navy-ne215p015-b11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - black,"119,99","119,99",https://www.zalando.it/new-balance-u740-sneakers-basse-black-ne215p03y-q11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p01h-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - blue agate,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-blue-agate-ne215p004-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - grey,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-grey-ne215p00s-c11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - sea salt,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-sea-salt-ne215p03f-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - sun glow,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-sun-glow-ne215p01v-k11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - black,"120,00","120,00",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-black-ne215p022-q11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p02i-a11.html?size=42
Scarpe Sportive,42,uomo,PUMA,VOLTAIC EVO  - Scarpe da corsa su strada - navy black almost apricot,"55,95","80,00",https://www.zalando.it/puma-voltaic-evo-scarpe-da-trail-running-navy-black-almost-apricot-pu115c005-k11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,TWO - Scarpe da basket - limelight,"77,99","129,99",https://www.zalando.it/new-balance-two-wxy-v5-scarpe-da-basket-limelight-ne242a0om-b11.html?size=42
Scarpe Sportive,42,uomo,ASICS,TRABUCO TERRA 2 - Scarpe da trail running - saxon green/pure aqua,"119,99","119,99",https://www.zalando.it/asics-trabuco-terra-2-scarpe-da-trail-running-saxon-greenpure-aqua-as142a119-m11.html?size=42
Scarpe Sportive,42,uomo,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - atlantis blue/pure aqua,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-atlantis-bluepure-aqua-as142a17l-k11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,FRESH FOAM 680 V8 - Scarpe da corsa su strada - raincloud,"114,99","114,99",https://www.zalando.it/new-balance-fresh-foam-680-v8-scarpe-da-corsa-su-strada-raincloud-ne242a0me-c13.html?size=42
Scarpe Sportive,42,uomo,ASICS,GAME CLAY - da tennis per terra battuta - white/saxon green,"75,99","89,99",https://www.zalando.it/asics-game-clay-da-tennis-per-terra-battuta-whitesaxon-green-as142a17h-a11.html?size=42
Scarpe Sportive,42,uomo,MIZUNO,WAVE MOMENTUM 3 UNISEX - Scarpe da pallavolo - neo mint/black/frontier blue,"152,99","169,99",https://www.zalando.it/mizuno-wave-momentum-3-unisex-scarpe-da-pallavolo-neo-mintblackfrontier-blue-m2744a00s-m11.html?size=42
Scarpe Sportive,42,uomo,ASICS,NOOSA TRI 16 - Scarpe da corsa su strada - soothing sea/white,"149,99","149,99",https://www.zalando.it/asics-noosa-tri-16-scarpe-da-corsa-su-strada-soothing-seawhite-as142a165-k11.html?size=42
