categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,40.5,uomo,NEW BALANCE,FRESH FOAM X EVOZ V4 - Scarpe da corsa su strada - grey matter,"129,99","129,99",https://www.zalando.it/new-balance-x-evoz-v4-scarpe-da-corsa-su-strada-grey-matter-ne242a0of-c11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,EVOSPEED DISTANCE - Punte - sun stream puma black puma silver,"79,00","90,00",https://www.zalando.it/puma-evospeed-distance-punte-sun-stream-puma-black-puma-silver-pu142a21s-h11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA GOLF,IGNITE ELEVATE 25 X - Scarpe da golf - slate sky- black-ash gray,"160,00","160,00",https://www.zalando.it/puma-golf-scarpe-da-golf-slate-sky-black-ash-gray-pu542a041-c11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,MELO MB 04 GEM - Scarpe da basket - yellow alert/green glare/pink alert,"124,99","124,99",https://www.zalando.it/puma-scarpe-da-basket-yellow-alertgreen-glarepink-alert-pu142a1z5-e11.html?size=40.5
Scarpe Sportive,40.5,uomo,JOMA,DYNAMIC - Scarpe da pallavolo - white/blue,"54,99","54,99",https://www.zalando.it/joma-scarpe-da-pallavolo-whiteblue-j3342a0la-a11.html?size=40.5
Scarpe Sportive,40.5,uomo,JOMA,ACE - Scarpe da tennis per tutte le superfici - blue/mint/orange,"129,99","129,99",https://www.zalando.it/joma-scarpe-da-tennis-per-tutte-le-superfici-bluemintorange-j3342a0lq-k11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,COURT PERFORMANCE FLOW FUTR X ELITE LUX - Scarpe da basket - black (001),"89,97","150,00",https://www.zalando.it/under-armour-court-performance-scarpe-da-basket-black-001-un242a0nr-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,FUTURE 7 PRO FG/AG - Scarpe da calcetto con tacchetti - black/copper rose,"117,56","139,95",https://www.zalando.it/puma-future-7-pro-fgag-scarpe-da-calcetto-con-tacchetti-blackcopper-rose-pu142a1pz-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,ULTRA PRO FG/AG - Scarpe da calcetto con tacchetti - black/asphalt,"112,00","140,00",https://www.zalando.it/puma-ultra-pro-fgag-scarpe-da-calcetto-con-tacchetti-blackasphalt-pu142a1hg-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,JOMA,SMASH - da tennis per terra battuta - white/mint/yellow,"109,99","109,99",https://www.zalando.it/joma-da-tennis-per-terra-battuta-whitemintyellow-j3342a0lv-a11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,CHARGED ROGUE - Scarpe da camminata - bianco,"85,00","85,00",https://www.zalando.it/under-armour-sneakers-basse-bianco-un242a0pb-a11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,UA SPAWN - Scarpe da basket - wht/black/mgo,"85,00","110,00",https://www.zalando.it/under-armour-unisex-scarpe-da-basket-weiss-grau-un244a01w-a12.html?size=40.5
Scarpe Sportive,40.5,uomo,NEW BALANCE,FRESH FOAM BB V2 - Scarpe da basket - grey,"118,99","139,99",https://www.zalando.it/new-balance-fresh-foam-bb-v2-scarpe-da-basket-grey-ne242a0l8-c11.html?size=40.5
Scarpe Sportive,40.5,uomo,JOMA,SLAM - Scarpe da padel - blue/orange,"104,99","104,99",https://www.zalando.it/joma-slam-scarpe-da-padel-blueorange-j3342a0lz-k11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA GOLF,CLYDE - Scarpe da golf - warm white/tropical peach,"199,99","199,99",https://www.zalando.it/puma-golf-clyde-scarpe-da-golf-warm-whitetropical-peach-pu542a03z-b11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,FUTURE 7 PRO MXSG - Scarpe da calcio con tacchetti - bluemazing/white/electric peppermint,"117,56","139,95",https://www.zalando.it/puma-future-7-pro-mxsg-scarpe-da-calcio-con-tacchetti-bluemazingwhiteelectric-peppermint-pu142a1ta-k11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - summit white/royal/black,"118,99","139,99",https://www.zalando.it/under-armour-infinite-pro-scarpe-da-trail-running-summit-whiteroyalblack-un242a0mq-a12.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,SONIC 7 - Scarpe da camminata - halo gray,"120,00","120,00",https://www.zalando.it/under-armour-scarpe-da-camminata-halo-gray-un242a0oq-c11.html?size=40.5
