categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,42,uomo,JOMA,MAXIMA - Scarpe da calcetto con tacchetti - white turquoise,"39,99","39,99",https://www.zalando.it/joma-maxima-scarpe-da-allenamento-white-turquoise-j3342a0kr-a12.html?size=42
Scarpe Sportive,42,uomo,UNDER ARMOUR,CHARGED EDGE FITNESS - Scarpe da allenamento - blk gry noir,"65,00","65,00",https://www.zalando.it/under-armour-sneakers-basse-blk-gry-noir-un215p008-q11.html?size=42
Scarpe Sportive,42,uomo,ASICS,GAME FF - Scarpe da tennis per tutte le superfici - white saxon green,"75,99","89,99",https://www.zalando.it/asics-game-scarpe-da-tennis-per-tutte-le-superfici-white-saxon-green-as142a17e-a12.html?size=42
Scarpe Sportive,42,uomo,ASICS,BEYOND  - Scarpe da pallamano - black/white,"108,00","120,00",https://www.zalando.it/asics-gel-beyond-7-scarpe-da-pallamano-blackwhite-as142a10n-q11.html?size=42
Scarpe Sportive,42,uomo,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcetto con tacchetti - galaxy silver/cool gray,"188,99","209,99",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcetto-con-tacchetti-galaxy-silvercool-gray-m2742a0jv-d11.html?size=42
Scarpe Sportive,42,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,"63,95","80,00",https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p03o-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - incense,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-incense-ne215p003-b11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p045-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - navy,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-navy-ne215p015-b11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - black,"119,99","119,99",https://www.zalando.it/new-balance-u740-sneakers-basse-black-ne215p03y-q11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p01h-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - blue agate,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-blue-agate-ne215p004-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,Sneakers basse - grey,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-grey-ne215p00s-c11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - sea salt,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-sea-salt-ne215p03f-a11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - sun glow,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-sun-glow-ne215p01v-k11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - black,"120,00","120,00",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-black-ne215p022-q11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,U740 - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p02i-a11.html?size=42
Scarpe Sportive,42,uomo,JOMA,SUPERCOPA - Scarpe da calcetto con tacchetti - white,"54,99","54,99",https://www.zalando.it/joma-supercopa-scarpe-da-calcetto-con-tacchetti-white-j3342a0m5-a11.html?size=42
Scarpe Sportive,42,uomo,PUMA,AVANT RUGBY - Scarpa da rugby - black white,"85,00","85,00",https://www.zalando.it/puma-avant-scarpa-da-rugby-black-white-pu142a22o-q11.html?size=42
Scarpe Sportive,42,uomo,JOMA,MAXIMA - Scarpe da calcetto con tacchetti - white,"39,99","39,99",https://www.zalando.it/joma-maxima-sneakers-basse-white-j3342a0kr-a14.html?size=42
Scarpe Sportive,42,uomo,MIZUNO,WAVE INSPIRE 21 - Scarpe da corsa su strada - grey/mint,"159,99","159,99",https://www.zalando.it/mizuno-wave-inspire-21-scarpe-da-corsa-su-strada-greymint-m2742a0l1-c11.html?size=42
Scarpe Sportive,42,uomo,ASICS,GEL-TACTIC 12 - Scarpe da pallavolo - white/black,"98,99","109,99",https://www.zalando.it/asics-scarpe-da-pallavolo-whiteblack-as142a10q-a11.html?size=42
Scarpe Sportive,42,uomo,UNDER ARMOUR,INFINITE MVMNT SE - Scarpe da allenamento - white/metallic silver,"90,99","129,99",https://www.zalando.it/under-armour-infinite-se-unisex-scarpe-da-allenamento-whitemetallic-silver-un244a030-a11.html?size=42
Scarpe Sportive,42,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - white/huddle yellow,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-whitehuddle-yellow-as142a17v-a11.html?size=42
Scarpe Sportive,42,uomo,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/steel/hyper green,"99,99","99,99",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerocksteelhyper-green-un242a0mi-c12.html?size=42
Scarpe Sportive,42,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - pure aqua/seal grey,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-pure-aquaseal-grey-as142a17k-c11.html?size=42
Scarpe Sportive,42,uomo,NEW BALANCE,FRESH FOAM X KAIHA ROAD - Sneakers basse - team royal,"119,99","119,99",https://www.zalando.it/new-balance-fresh-foam-x-kaiha-road-scarpe-da-corsa-su-strada-team-royal-ne242a0oi-k11.html?size=42
