categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,41,uomo,JOMA,MAXIMA - Scarpe da calcetto con tacchetti - turquoise,"39,99","39,99",https://www.zalando.it/joma-maxima-scarpe-da-calcetto-con-tacchetti-turquoise-j3342a0m7-k11.html?size=41
Scarpe Sportive,41,uomo,PUMA,AXELION REFRESH - Scarpe da corsa su strada - navy inky blue dark jasper,"80,00","80,00",https://www.zalando.it/puma-axelion-refresh-sneakers-basse-navy-inky-blue-dark-jasper-pu112o0ia-k11.html?size=41
Scarpe Sportive,41,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/silver,"57,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitesilver-pu115o0nn-a11.html?size=41
Scarpe Sportive,41,uomo,PUMA,VOLTAIC EVO  - Scarpe da corsa su strada - black-stormy slate-for all time red,"59,95","80,00",https://www.zalando.it/puma-voltaic-evo-scarpe-da-trail-running-black-stormy-slate-for-all-time-red-pu115c005-q11.html?size=41
Scarpe Sportive,41,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - triple black,"43,95","55,00",https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-pu144a07j-q12.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,LOCKDOWN 7 LOW - Scarpe da basket - midnight navy/electric blue/white,"66,99","74,99",https://www.zalando.it/under-armour-lockdown-7-low-scarpe-da-basket-midnight-navyelectric-bluewhite-un242a0mn-k12.html?size=41
Scarpe Sportive,41,uomo,PUMA,SOFTRIDE CARSON - Scarpe da corsa su strada - black- black- white,"36,95","55,00",https://www.zalando.it/puma-softride-carson-scarpe-running-neutre-black-black-white-pu141a126-q12.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,CHARGED COMMIT TR 4 - Scarpe da allenamento - black,"67,99","79,99",https://www.zalando.it/under-armour-charged-commit-tr-4-unisex-scarpe-da-allenamento-black-un242a0l9-q12.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - white/midnight navy,"79,97","100,00",https://www.zalando.it/under-armour-infinite-scarpe-running-neutre-whitemidnight-navy-un242a0mg-a11.html?size=41
Scarpe Sportive,41,uomo,PUMA,FLYER LITE 3 - Scarpe da corsa su strada - black/white,"29,95","50,00",https://www.zalando.it/puma-flyer-lite-3-unisex-scarpe-da-corsa-su-strada-blackwhite-pu144a0cl-q11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - white,"96,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-scarpe-da-allenamento-white-un241a0ej-a11.html?size=41
Scarpe Sportive,41,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - white,"43,95","55,00",https://www.zalando.it/puma-anzarun-lite-unisex-scarpe-da-fitness-white-pu144a07j-a11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,Scarpe da corsa su strada - black anthracite castlerock,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-black-anthracite-castlerock-un242a0n1-q11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - black,"100,00","100,00",https://www.zalando.it/under-armour-infinite-scarpe-running-neutre-black-un242a0mg-q14.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/steel/hyper green,"99,99","99,99",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerocksteelhyper-green-un242a0mi-c12.html?size=41
Scarpe Sportive,41,uomo,PUMA,MB.04 PHOENIX - Scarpe da basket - red/orange glow/fluro orange/purple glimmer,"124,99","124,99",https://www.zalando.it/puma-mb04-phoenix-scarpe-da-basket-redorange-glowfluro-orangepurple-glimmer-pu142a1xp-g11.html?size=41
Scarpe Sportive,41,uomo,MIZUNO,CYCLONE SPEED 5 - Scarpe da pallavolo - white/blue,"57,99","64,99",https://www.zalando.it/mizuno-cyclone-speed-5-scarpe-da-pallavolo-whiteblue-m2742a0l8-a11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - white/hyper green/black,"129,99","129,99",https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-whitehyper-greenblack-un242a0nd-a12.html?size=41
Scarpe Sportive,41,uomo,PUMA,X CELL NOVA UNISEX - Scarpe da allenamento - black/for all time red,"58,99","69,99",https://www.zalando.it/puma-x-cell-nova-unisex-scarpe-da-allenamento-blackfor-all-time-red-pu144a0bj-q14.html?size=41
Scarpe Sportive,41,uomo,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - for all time red/team regal red/white,"51,99","64,99",https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-for-all-time-redteam-regal-redwhite-pu144a0d8-g11.html?size=41
Scarpe Sportive,41,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - puma white-puma black,"44,95","75,00",https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-puma-white-puma-black-pu144a0cn-a11.html?size=41
Scarpe Sportive,41,uomo,MIZUNO,MORELIA II CLUB - Scarpe da calcetto con tacchetti - black/galaxy silver/dark shadow,"44,99","74,99",https://www.zalando.it/mizuno-morelia-ii-club-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silverdark-shadow-m2742a0i2-q18.html?size=41
Scarpe Sportive,41,uomo,PUMA,AXELION REFRESH - Scarpe da corsa su strada - black/cool dark gray,"80,00","80,00",https://www.zalando.it/puma-sneakers-basse-blackcool-dark-gray-pu112o0ia-q11.html?size=41
Scarpe Sportive,41,uomo,PUMA,AXELION REFRESH - Scarpe da corsa su strada - black/cool dark gray/red,"80,00","80,00",https://www.zalando.it/puma-sneakers-basse-blackcool-dark-grayred-pu112o0ia-c11.html?size=41
Scarpe Sportive,41,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - black cool dark gray,"55,95","70,00",https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-black-cool-dark-gray-pu115o0wk-q14.html?size=41
Scarpe Sportive,41,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - black/cool dark gray,"56,95","65,00",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-blackcool-dark-gray-pu115o0nn-q11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,IGNITE SELECT - Ciabatte da mare - black,"28,00","28,00",https://www.zalando.it/under-armour-ignite-select-ciabatte-da-mare-black-un242b0bo-q13.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - black/castlerock/white,"99,99","99,99",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-blackcastlerockwhite-un242a0mi-q12.html?size=41
Scarpe Sportive,41,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,"55,95","70,00",https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=41
Scarpe Sportive,41,uomo,PUMA,POUNCE LITE UNISEX - Scarpe da corsa su strada - white/black,"38,95","55,00",https://www.zalando.it/puma-scarpe-running-neutre-whiteblack-pu144a0cj-a11.html?size=41
Scarpe Sportive,41,uomo,PUMA,COURT PRO MARBLE UNISEX - Scarpe da basket - yellow alert/green glare,"63,99","74,99",https://www.zalando.it/puma-court-pro-marble-unisex-scarpe-da-basket-yellow-alertgreen-glare-pu142a1xi-m11.html?size=41
Scarpe Sportive,41,uomo,UNDER ARMOUR,DYNAMIC 2 - Scarpe da allenamento - white,"99,99","99,99",https://www.zalando.it/under-armour-dynamic-2-scarpe-da-allenamento-white-un242a0np-a11.html?size=41
Scarpe Sportive,41,uomo,PUMA,COURT PRO MARBLE UNISEX - Scarpe da basket - cool mid gray/black,"48,99","74,99",https://www.zalando.it/puma-court-pro-marble-scarpe-da-basket-cool-mid-grayblack-pu142a1xi-q11.html?size=41
