categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,38,uomo,PUMA,FLYER LITE 3 - Scarpe da corsa su strada - black/white,"29,95","50,00",https://www.zalando.it/puma-flyer-lite-3-unisex-scarpe-da-corsa-su-strada-blackwhite-pu144a0cl-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/silver,"57,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitesilver-pu115o0nn-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,"48,95","70,00",https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/black/gold,"49,90","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whiteblackgold-pu115o0nn-a12.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,"UNISEX SLIPSPEED
 - Scarpe da allenamento - white","89,97","150,00",https://www.zalando.it/under-armour-sneakers-basse-white-un244a02k-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white red fire vapor gray,"51,95","65,00",https://www.zalando.it/puma-caven-sneakers-basse-white-red-fire-vapor-gray-pu115o0nn-a32.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white/light grey,"89,99","99,99",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-whitelight-grey-ne215o05f-a13.html?size=38
Scarpe Sportive,38,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - navy,"43,95","55,00",https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-pu144a07j-k11.html?size=38
Scarpe Sportive,38,uomo,PUMA,EASY RIDER MIX - Scarpe da camminata - white clyde royal,"99,99","99,99",https://www.zalando.it/puma-easy-rider-unisex-sneakers-basse-white-clyde-royal-pu115o0tz-a15.html?size=38
Scarpe Sportive,38,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - white,"43,95","55,00",https://www.zalando.it/puma-anzarun-lite-unisex-scarpe-da-fitness-white-pu144a07j-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,ULTRA 5 ULTIMATE - Scarpe da calcetto con tacchetti - lack/silver/bright aqua,"184,99","229,99",https://www.zalando.it/puma-ultra-5-ultimate-fg-scarpe-da-calcetto-con-tacchetti-lacksilverbright-aqua-pu142a1wi-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,ULTRA 5 ULTIMATE MXSG - Scarpe da calcio con tacchetti - black/silver/bright aqua,"184,99","229,99",https://www.zalando.it/puma-ultra-5-ultimate-mxsg-scarpe-da-calcio-con-tacchetti-blacksilverbright-aqua-pu142a1w9-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - puma white-puma black,"44,95","75,00",https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-puma-white-puma-black-pu144a0cn-a11.html?size=38
Scarpe Sportive,38,uomo,MIZUNO,WAVE STEALTH NEO 2 UNISEX - Scarpe da pallamano - neo mint/black/frontier blue,"152,99","169,99",https://www.zalando.it/mizuno-sneakers-basse-neo-mintblackfrontier-blue-m2744a00t-m11.html?size=38
Scarpe Sportive,38,uomo,PUMA,KING ULTIMATE FOREVER - Scarpe da calcetto con tacchetti - feather gray/electric lime/white/flat light gray,"219,95","219,95",https://www.zalando.it/puma-king-ultimate-forever-scarpe-da-calcetto-con-tacchetti-feather-grayelectric-limewhiteflat-light-gray-pu142a1wp-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - black/white/gold,"64,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-blackwhitegold-pu115o0nn-q12.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/rose quartz/gold,"64,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whiterose-quartzgold-pu115o0nn-a24.html?size=38
Scarpe Sportive,38,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white,"54,99","54,99",https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-blackwhite-pu144a07j-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - cool light gray black white,"51,95","65,00",https://www.zalando.it/puma-caven-sneakers-basse-cool-light-gray-black-white-pu115o0nn-a26.html?size=38
Scarpe Sportive,38,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - loden green/black/green glare,"55,99","69,99",https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-loden-greenblackgreen-glare-pu144a0bz-m11.html?size=38
Scarpe Sportive,38,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/dark myrtle/black,"64,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitedark-myrtleblack-pu115o0nn-a29.html?size=38
Scarpe Sportive,38,uomo,PUMA,EASY RIDER MIX - Scarpe da camminata - white-pink fruit,"99,99","99,99",https://www.zalando.it/puma-easy-rider-unisex-sneakers-basse-white-pink-fruit-pu115o0tz-a16.html?size=38
Scarpe Sportive,38,uomo,PUMA,FUTURE 8 ULTIMATE FOREVER - Scarpe da calcetto con tacchetti - white/ultra blue/feather gray/puma/glowing red,"229,95","229,95",https://www.zalando.it/puma-future-8-ultimate-forever-scarpe-da-calcetto-con-tacchetti-whiteultra-bluefeather-graypumaglowing-red-pu142a1w2-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,FUTURE 8 ULTIMATE LOW - Scarpe da calcetto con tacchetti - black cool light gray fluo green,"184,99","229,99",https://www.zalando.it/puma-future-8-ultimate-low-fg-scarpe-da-calcetto-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1wc-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,POUNCE LITE - Scarpe da corsa su strada - black white,"38,95","55,00",https://www.zalando.it/puma-scarpe-running-neutre-black-white-pu144a0ci-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,FUTURE 8 ULTIMATE - Scarpe da calcetto con tacchetti - black cool light gray fluo green,"179,95","229,95",https://www.zalando.it/puma-future-8-ultimate-fg-scarpe-da-calcetto-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1w1-q12.html?size=38
Scarpe Sportive,38,uomo,PUMA,ULTRA 5 ULTIMATE - Scarpe da calcetto con tacchetti - white/black/glowing red,"184,99","229,99",https://www.zalando.it/puma-ultra-5-ultimate-fg-scarpe-da-calcetto-con-tacchetti-whiteblackglowing-red-pu142a1wi-a11.html?size=38
Scarpe Sportive,38,uomo,PUMA,X CELL NOVA UNISEX - Scarpe da allenamento - cool light gray,"69,99","69,99",https://www.zalando.it/puma-x-cell-nova-unisex-scarpe-da-allenamento-cool-light-gray-pu144a0bj-c11.html?size=38
