categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,42.5,uomo,ASICS,SCOUT 3 - Scarpe da trail running - midnight/light blue,"64,99","64,99",https://www.zalando.it/asics-scout-3-scarpe-da-trail-running-midnightlight-blue-as142a11a-k14.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,FRESH FOAM X HIERRO V9 - Scarpe da trail running - vintage indigo,"159,99","159,99",https://www.zalando.it/new-balance-hierro-v9-scarpe-da-trail-running-vintage-indigo-ne242a0oc-k11.html?size=42.5
Scarpe Sportive,42.5,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - black graphite grey,"199,95","199,95",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-black-graphite-grey-as142a17v-q11.html?size=42.5
Scarpe Sportive,42.5,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - navy,"43,95","55,00",https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-pu144a07j-k11.html?size=42.5
Scarpe Sportive,42.5,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - wave teal/saxon green,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-wave-tealsaxon-green-as142a17v-p11.html?size=42.5
Scarpe Sportive,42.5,uomo,PUMA,FUTURE 8 PLAY IT - Scarpe da calcetto - black/white/glowing red,"38,99","59,99",https://www.zalando.it/puma-future-8-play-it-scarpe-da-calcetto-blackwhiteglowing-red-pu142a1w3-q11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p03o-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - incense,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-incense-ne215p003-b11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p045-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - navy,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-navy-ne215p015-b11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 - Sneakers basse - black,"119,99","119,99",https://www.zalando.it/new-balance-u740-sneakers-basse-black-ne215p03y-q11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-white-ne215p01h-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 - Sneakers basse - blue agate,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-blue-agate-ne215p004-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,Sneakers basse - grey,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-grey-ne215p00s-c11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - sea salt,"119,99","119,99",https://www.zalando.it/new-balance-sneakers-basse-sea-salt-ne215p03f-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 - Sneakers basse - sun glow,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-sun-glow-ne215p01v-k11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - black,"120,00","120,00",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-black-ne215p022-q11.html?size=42.5
Scarpe Sportive,42.5,uomo,NEW BALANCE,U740 - Sneakers basse - white,"119,99","119,99",https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p02i-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - black/graphite grey,"69,99","69,99",https://www.zalando.it/asics-gel-contend-9-scarpe-running-neutre-blackgraphite-grey-as142a162-q12.html?size=42.5
Scarpe Sportive,42.5,uomo,ASICS,UPCOURT 6 - Scarpe da pallamano - white/vintage indigo,"57,99","64,99",https://www.zalando.it/asics-upcourt-6-scarpe-da-pallamano-whitevintage-indigo-as142a158-a11.html?size=42.5
Scarpe Sportive,42.5,uomo,PUMA,FUTURE 7 PRO FG/AG - Scarpe da calcetto con tacchetti - bluemazing/white/electric peppermint,"98,00","140,00",https://www.zalando.it/puma-future-7-pro-fgag-scarpe-da-calcetto-con-tacchetti-bluemazingwhiteelectric-peppermint-pu142a1tk-k11.html?size=42.5
Scarpe Sportive,42.5,uomo,PUMA,COURT PRO MARBLE UNISEX - Scarpe da basket - cool mid gray/black,"48,99","74,99",https://www.zalando.it/puma-court-pro-marble-scarpe-da-basket-cool-mid-grayblack-pu142a1xi-q11.html?size=42.5
Scarpe Sportive,42.5,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,"48,95","70,00",https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=42.5
Scarpe Sportive,42.5,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - white,"96,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-scarpe-da-allenamento-white-un241a0ej-a11.html?size=42.5
