categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,FUTR X ELITE - Scarpe da basket - andromeda purple,"150,00","150,00",https://www.zalando.it/under-armour-sneakers-alte-andromeda-purple-un244a03j-i11.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,SKY ELITE FF 3 - Scarpe da pallavolo - white/nova orange,"143,99","159,99",https://www.zalando.it/asics-sky-elite-ff-3-scarpe-da-pallavolo-whitenova-orange-as142a15a-a13.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,GEL-RESOLUTION X CLAY - da tennis per terra battuta - black shocking orange,"160,00","160,00",https://www.zalando.it/asics-sneakers-basse-black-shocking-orange-as112p005-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,SPAWN 6 MID - Scarpe da basket - black,"72,00","120,00",https://www.zalando.it/under-armour-sneakers-basse-black-un244a032-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,NEW BALANCE,FURON PRO FG V7+. - Scarpe da calcetto con tacchetti - black white,"161,00","230,00",https://www.zalando.it/new-balance-furon-pro-fg-v7-scarpe-da-calcetto-con-tacchetti-black-white-ne244a00v-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,BEYOND  - Scarpe da pallamano - white/midnight,"107,99","119,99",https://www.zalando.it/asics-beyond-scarpe-da-pallamano-whitemidnight-as142a10n-a14.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,GEL-CHALLENGER 14  - Scarpe da padel - metropolis/energy aqua,"101,99","119,99",https://www.zalando.it/asics-gel-challenger-14-scarpe-da-padel-metropolisenergy-aqua-as142a10c-c11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,EASY RIDER MIX - Scarpe da camminata - white-pink fruit,"99,99","99,99",https://www.zalando.it/puma-easy-rider-unisex-sneakers-basse-white-pink-fruit-pu115o0tz-a16.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,SOLUTION SWIFT FF 2 PADEL - Scarpe da padel - grey blue/mako blue,"107,99","119,99",https://www.zalando.it/asics-solution-swift-ff-2-scarpe-da-padel-grey-bluemako-blue-as142a15j-k11.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,SOLUTION SPEED FF 3 CLAY - da tennis per terra battuta - saxon green/birch,"149,99","149,99",https://www.zalando.it/asics-solution-speed-ff-3-clay-da-tennis-per-terra-battuta-saxon-greenbirch-as142a144-m11.html?size=40.5
