,Unnamed: 0,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
7179,7320,Scarpe Sportive,47.5,uomo,PUMA,Scarpe da allenamento - sun stream black caramel latte,89.99,89.99,https://www.zalando.it/puma-scarpe-da-allenamento-sun-stream-black-caramel-latte-pu144a09p-h11.html?size=48,Unknown,scarpe da allenamento,sun stream black caramel latte
7180,7321,Scarpe Sportive,47.5,uomo,PUMA,Scarpe da allenamento - black/white,89.99,89.99,https://www.zalando.it/puma-scarpe-da-pallamano-blackwhite-pu144a09p-q11.html?size=48,Unknown,scarpe da allenamento,black/white
7181,7322,Scarpe Sportive,47.5,Uomo,NEW BALANCE,Scarpe da calcetto con tacchetti - white red,80.0,80.0,https://www.zalando.it/new-balance-regalo-per-nascita-white-red-ne242a0ou-a11.html?size=47.5,Unknown,scarpe da calcetto con tacchetti,white red
7182,7323,Scarpe Sportive,47.5,Uomo,UNDER ARMOUR,Scarpe da camminata - white,100.0,100.0,https://www.zalando.it/under-armour-scarpe-running-neutre-white-un242a0n0-a11.html?size=47.5,Unknown,scarpe da camminata,white
7183,7324,Scarpe Sportive,47.5,Uomo,NEW BALANCE,Scarpe da camminata - blue beige,99.95,99.95,https://www.zalando.it/new-balance-scarpe-skate-blue-beige-ne242a0ox-k11.html?size=47.5,Unknown,scarpe da camminata,blue beige
7184,7325,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,Scarpe da corsa su strada - white,95.97,160.0,https://www.zalando.it/under-armour-scarpe-running-neutre-white-un242a0n1-a12.html?size=47.5,Unknown,scarpe da corsa su strada,white
7185,7326,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,Scarpe da corsa su strada - morph green,95.97,160.0,https://www.zalando.it/under-armour-scarpe-running-neutre-morph-green-un242a0n1-m11.html?size=47.5,Unknown,scarpe da corsa su strada,morph green
7186,7327,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,Scarpe da corsa su strada - black anthracite castlerock,95.97,160.0,https://www.zalando.it/under-armour-scarpe-running-neutre-black-anthracite-castlerock-un242a0n1-q11.html?size=47.5,Unknown,scarpe da corsa su strada,black anthracite castlerock
7187,7328,Scarpe Sportive,47.0,Uomo,NEW BALANCE,Scarpe da calcetto con tacchetti - black,209.99,209.99,https://www.zalando.it/new-balance-scarpe-da-calcetto-con-tacchetti-black-ne242a0g2-q11.html?size=47.5,Unknown,scarpe da calcetto con tacchetti,black
7188,7329,Scarpe Sportive,47.0,Uomo,PUMA,Scarpe da allenamento - black/white,89.99,89.99,https://www.zalando.it/puma-scarpe-da-pallamano-blackwhite-pu144a09p-q11.html?size=47,Unknown,scarpe da allenamento,black/white
7189,7330,Scarpe Sportive,47.0,Uomo,NEW BALANCE,Scarpe da calcio con tacchetti - black red,90.0,90.0,https://www.zalando.it/new-balance-sneakers-basse-black-red-ne244a01j-q11.html?size=47,Unknown,scarpe da calcio con tacchetti,black red
