,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
644,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 MATCH LOW - Scarpe da calcetto con tacchetti - black/silver/fluo green,50.99,84.99,https://www.zalando.it/puma-future-8-match-low-fgag-scarpe-da-calcetto-con-tacchetti-blacksilverfluo-green-pu142a1x2-q12.html?size=47,FUTURE 8 MATCH LOW,scarpe da calcetto con tacchetti,black/silver/fluo green
645,Scarpe Sportive,47.0,Uomo,PUMA,ULTRA MATCH FG/AG - Scarpe da calcetto con tacchetti - ultra orange/white/blue glimmer,59.99,59.99,https://www.zalando.it/puma-ultra-match-fgag-scarpe-da-calcetto-con-tacchetti-ultra-orangewhiteblue-glimmer-pu142a1f3-h11.html?size=47,ULTRA MATCH FG/AG,scarpe da calcetto con tacchetti,ultra orange/white/blue glimmer
646,Scarpe Sportive,47.0,Uomo,PUMA,X CELL NOVA UNISEX - Scarpe da allenamento - black/for all time red,58.99,69.99,https://www.zalando.it/puma-x-cell-nova-unisex-scarpe-da-allenamento-blackfor-all-time-red-pu144a0bj-q14.html?size=47,X CELL NOVA UNISEX,scarpe da allenamento,black/for all time red
647,Scarpe Sportive,47.0,Uomo,PUMA,DEVIATE NITRO 3 - Scarpe da corsa su strada - yellow alert puma black,169.95,169.95,https://www.zalando.it/puma-scarpe-da-corsa-su-strada-yellow-alert-puma-black-pu142a21n-e11.html?size=47,DEVIATE NITRO 3,scarpe da corsa su strada,yellow alert puma black
648,Scarpe Sportive,47.0,Uomo,ASICS,GAME - Scarpe da padel - mako blue/energy aqua,75.99,89.99,https://www.zalando.it/asics-game-scarpe-da-padel-mako-blueenergy-aqua-as142a17b-k11.html?size=47,GAME,scarpe da padel,mako blue/energy aqua
649,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE LIGHTNING Z8 - Scarpe da pallavolo - white/bellwether blue/bel air blue,143.99,159.99,https://www.zalando.it/mizuno-wave-lightning-z8-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0lf-a11.html?size=47,WAVE LIGHTNING Z8,scarpe da pallavolo,white/bellwether blue/bel air blue
650,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE STEALTH 6 UNISEX - Scarpe da pallamano - neo mint/black/frontier blue,125.99,139.99,https://www.zalando.it/mizuno-sneakers-basse-neo-mintblackfrontier-blue-m2744a00u-m11.html?size=47,WAVE STEALTH 6 UNISEX,scarpe da pallamano,neo mint/black/frontier blue
651,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/steel/hyper green,99.99,99.99,https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerocksteelhyper-green-un242a0mi-c12.html?size=47,CHARGED BANDIT TR 3,scarpe da trail running,castlerock/steel/hyper green
652,Scarpe Sportive,47.0,Uomo,ASICS,SKY ELITE 3  - Scarpe da pallavolo - white/nova orange,152.99,169.99,https://www.zalando.it/asics-sky-elite-3-scarpe-da-pallavolo-whitenova-orange-as142a15f-a12.html?size=47,SKY ELITE 3,scarpe da pallavolo,white/nova orange
653,Scarpe Sportive,47.0,Uomo,PUMA,ULTRA 5 MATCH - Scarpe da calcetto con tacchetti - white/black/glowing red,50.99,84.99,https://www.zalando.it/puma-ultra-5-match-mg-scarpe-da-calcetto-con-tacchetti-whiteblackglowing-red-pu142a1we-a11.html?size=47,ULTRA 5 MATCH,scarpe da calcetto con tacchetti,white/black/glowing red
